<html xmlns:o="urn:schemas-microsoft-com:office:office" xmlns:x="urn:schemas-microsoft-com:office:excel" xmlns="http://www.w3.org/TR/REC-html40"><head><!--[if gte mso 9]><xml><x:ExcelWorkbook><x:ExcelWorksheets><x:ExcelWorksheet><x:Name>Worksheet</x:Name><x:WorksheetOptions><x:DisplayGridlines/></x:WorksheetOptions></x:ExcelWorksheet></x:ExcelWorksheets></x:ExcelWorkbook></xml><![endif]--></head><body><table>
    
    

   
   <thead>      
      <tr>
         <th aria-label="Tm" data-stat="team" scope="col" class=" poptip sort_default_asc show_partial_when_sorting left">Tm</th>
         <th aria-label="Total" data-stat="total" scope="col" class=" poptip center">Total</th>
         <th aria-label="Home" data-stat="home" scope="col" class=" poptip center">Home</th>
         <th aria-label="Away" data-stat="away" scope="col" class=" poptip center">Away</th>
         <th aria-label="Week 1" data-stat="week1" scope="col" class=" poptip center">Week 1</th>
         <th aria-label="Week 2" data-stat="week2" scope="col" class=" poptip center">Week 2</th>
         <th aria-label="Week 3" data-stat="week3" scope="col" class=" poptip center">Week 3</th>
         <th aria-label="Week 4" data-stat="week4" scope="col" class=" poptip center">Week 4</th>
         <th aria-label="Week 5" data-stat="week5" scope="col" class=" poptip center">Week 5</th>
         <th aria-label="Week 6" data-stat="week6" scope="col" class=" poptip center">Week 6</th>
         <th aria-label="Week 7" data-stat="week7" scope="col" class=" poptip center">Week 7</th>
         <th aria-label="Week 8" data-stat="week8" scope="col" class=" poptip center">Week 8</th>
         <th aria-label="Week 9" data-stat="week9" scope="col" class=" poptip center">Week 9</th>
         <th aria-label="Week 10" data-stat="week10" scope="col" class=" poptip center">Week 10</th>
         <th aria-label="Week 11" data-stat="week11" scope="col" class=" poptip center">Week 11</th>
         <th aria-label="Week 12" data-stat="week12" scope="col" class=" poptip center">Week 12</th>
         <th aria-label="Week 13" data-stat="week13" scope="col" class=" poptip center">Week 13</th>
         <th aria-label="Week 14" data-stat="week14" scope="col" class=" poptip center">Week 14</th>
         <th aria-label="Week 15" data-stat="week15" scope="col" class=" poptip center">Week 15</th>
         <th aria-label="Week 16" data-stat="week16" scope="col" class=" poptip center">Week 16</th>
         <th aria-label="Week 17" data-stat="week17" scope="col" class=" poptip center">Week 17</th>
      </tr>
      </thead>
<tbody><tr data-row="0"><th scope="row" class="left " data-stat="team">Arizona Cardinals</th><td class="right " data-stat="total">1,028,446</td><td class="right " data-stat="home" csk="513487">513,487</td><td class="right " data-stat="away" csk="514959">514,959</td><td class="right " data-stat="week1" csk="62903">62,903</td><td class="right " data-stat="week2" csk="62351">62,351</td><td class="right " data-stat="week3" csk="63663">63,663</td><td class="right " data-stat="week4" csk="63146">63,146</td><td class="right " data-stat="week5" csk="60816">60,816</td><td class="right " data-stat="week6" csk="63846">63,846</td><td class="right " data-stat="week7" csk="64722">64,722</td><td class="right " data-stat="week8" csk="67431">67,431</td><td class="right " data-stat="week9" csk="0">Bye</td><td class="right " data-stat="week10" csk="69005">69,005</td><td class="right " data-stat="week11" csk="64745">64,745</td><td class="right " data-stat="week12" csk="70799">70,799</td><td class="right " data-stat="week13" csk="51115">51,115</td><td class="right " data-stat="week14" csk="64784">64,784</td><td class="right " data-stat="week15" csk="69596">69,596</td><td class="right " data-stat="week16" csk="64878">64,878</td><td class="right " data-stat="week17" csk="64646">64,646</td></tr>
<tr data-row="1"><th scope="row" class="left " data-stat="team">Atlanta Falcons</th><td class="right " data-stat="total">1,134,671</td><td class="right " data-stat="home" csk="562845">562,845</td><td class="right " data-stat="away" csk="571826">571,826</td><td class="right " data-stat="week1" csk="70516">70,516</td><td class="right " data-stat="week2" csk="77678">77,678</td><td class="right " data-stat="week3" csk="90345">90,345</td><td class="right " data-stat="week4" csk="69904">69,904</td><td class="right " data-stat="week5" csk="70178">70,178</td><td class="right " data-stat="week6" csk="73018">73,018</td><td class="right " data-stat="week7" csk="63329">63,329</td><td class="right " data-stat="week8" csk="70524">70,524</td><td class="right " data-stat="week9" csk="70799">70,799</td><td class="right " data-stat="week10" csk="0">Bye</td><td class="right " data-stat="week11" csk="70433">70,433</td><td class="right " data-stat="week12" csk="70610">70,610</td><td class="right " data-stat="week13" csk="58221">58,221</td><td class="right " data-stat="week14" csk="74420">74,420</td><td class="right " data-stat="week15" csk="64016">64,016</td><td class="right " data-stat="week16" csk="70981">70,981</td><td class="right " data-stat="week17" csk="69699">69,699</td></tr>
<tr data-row="2"><th scope="row" class="left " data-stat="team">Baltimore Ravens</th><td class="right " data-stat="total">1,083,919</td><td class="right " data-stat="home" csk="568018">568,018</td><td class="right " data-stat="away" csk="515901">515,901</td><td class="right " data-stat="week1" csk="76798">76,798</td><td class="right " data-stat="week2" csk="53500">53,500</td><td class="right " data-stat="week3" csk="70970">70,970</td><td class="right " data-stat="week4" csk="63929">63,929</td><td class="right " data-stat="week5" csk="71046">71,046</td><td class="right " data-stat="week6" csk="70799">70,799</td><td class="right " data-stat="week7" csk="64722">64,722</td><td class="right " data-stat="week8" csk="70829">70,829</td><td class="right " data-stat="week9" csk="0">Bye</td><td class="right " data-stat="week10" csk="70837">70,837</td><td class="right " data-stat="week11" csk="71105">71,105</td><td class="right " data-stat="week12" csk="64380">64,380</td><td class="right " data-stat="week13" csk="64519">64,519</td><td class="right " data-stat="week14" csk="71179">71,179</td><td class="right " data-stat="week15" csk="70791">70,791</td><td class="right " data-stat="week16" csk="71261">71,261</td><td class="right " data-stat="week17" csk="57254">57,254</td></tr>
<tr data-row="3"><th scope="row" class="left " data-stat="team">Buffalo Bills</th><td class="right " data-stat="total">1,140,809</td><td class="right " data-stat="home" csk="559047">559,047</td><td class="right " data-stat="away" csk="581762">581,762</td><td class="right " data-stat="week1" csk="70319">70,319</td><td class="right " data-stat="week2" csk="70858">70,858</td><td class="right " data-stat="week3" csk="64869">64,869</td><td class="right " data-stat="week4" csk="70677">70,677</td><td class="right " data-stat="week5" csk="65670">65,670</td><td class="right " data-stat="week6" csk="69593">69,593</td><td class="right " data-stat="week7" csk="84021">84,021</td><td class="right " data-stat="week8" csk="0">Bye</td><td class="right " data-stat="week9" csk="70214">70,214</td><td class="right " data-stat="week10" csk="78160">78,160</td><td class="right " data-stat="week11" csk="66829">66,829</td><td class="right " data-stat="week12" csk="72493">72,493</td><td class="right " data-stat="week13" csk="68544">68,544</td><td class="right " data-stat="week14" csk="69596">69,596</td><td class="right " data-stat="week15" csk="80124">80,124</td><td class="right " data-stat="week16" csk="70172">70,172</td><td class="right " data-stat="week17" csk="68670">68,670</td></tr>
<tr data-row="4"><th scope="row" class="left " data-stat="team">Carolina Panthers</th><td class="right " data-stat="total">1,157,689</td><td class="right " data-stat="home" csk="592454">592,454</td><td class="right " data-stat="away" csk="565235">565,235</td><td class="right " data-stat="week1" csk="60733">60,733</td><td class="right " data-stat="week2" csk="73254">73,254</td><td class="right " data-stat="week3" csk="73402">73,402</td><td class="right " data-stat="week4" csk="57468">57,468</td><td class="right " data-stat="week5" csk="0">Bye</td><td class="right " data-stat="week6" csk="69020">69,020</td><td class="right " data-stat="week7" csk="74194">74,194</td><td class="right " data-stat="week8" csk="74136">74,136</td><td class="right " data-stat="week9" csk="74461">74,461</td><td class="right " data-stat="week10" csk="63591">63,591</td><td class="right " data-stat="week11" csk="74418">74,418</td><td class="right " data-stat="week12" csk="90909">90,909</td><td class="right " data-stat="week13" csk="73097">73,097</td><td class="right " data-stat="week14" csk="74420">74,420</td><td class="right " data-stat="week15" csk="79436">79,436</td><td class="right " data-stat="week16" csk="70981">70,981</td><td class="right " data-stat="week17" csk="74169">74,169</td></tr>
<tr data-row="5"><th scope="row" class="left " data-stat="team">Chicago Bears</th><td class="right " data-stat="total">1,020,065</td><td class="right " data-stat="home" csk="496287">496,287</td><td class="right " data-stat="away" csk="523778">523,778</td><td class="right " data-stat="week1" csk="62442">62,442</td><td class="right " data-stat="week2" csk="62351">62,351</td><td class="right " data-stat="week3" csk="69002">69,002</td><td class="right " data-stat="week4" csk="62409">62,409</td><td class="right " data-stat="week5" csk="75799">75,799</td><td class="right " data-stat="week6" csk="57648">57,648</td><td class="right " data-stat="week7" csk="0">Bye</td><td class="right " data-stat="week8" csk="62311">62,311</td><td class="right " data-stat="week9" csk="68033">68,033</td><td class="right " data-stat="week10" csk="58653">58,653</td><td class="right " data-stat="week11" csk="62483">62,483</td><td class="right " data-stat="week12" csk="78488">78,488</td><td class="right " data-stat="week13" csk="62088">62,088</td><td class="right " data-stat="week14" csk="61026">61,026</td><td class="right " data-stat="week15" csk="52421">52,421</td><td class="right " data-stat="week16" csk="63734">63,734</td><td class="right " data-stat="week17" csk="61177">61,177</td></tr>
<tr data-row="6"><th scope="row" class="left " data-stat="team">Cincinnati Bengals</th><td class="right " data-stat="total">1,028,118</td><td class="right " data-stat="home" csk="491118">491,118</td><td class="right " data-stat="away" csk="537000">537,000</td><td class="right " data-stat="week1" csk="54500">54,500</td><td class="right " data-stat="week2" csk="57579">57,579</td><td class="right " data-stat="week3" csk="70970">70,970</td><td class="right " data-stat="week4" csk="57498">57,498</td><td class="right " data-stat="week5" csk="65004">65,004</td><td class="right " data-stat="week6" csk="69593">69,593</td><td class="right " data-stat="week7" csk="0">Bye</td><td class="right " data-stat="week8" csk="64750">64,750</td><td class="right " data-stat="week9" csk="65816">65,816</td><td class="right " data-stat="week10" csk="61381">61,381</td><td class="right " data-stat="week11" csk="64745">64,745</td><td class="right " data-stat="week12" csk="61022">61,022</td><td class="right " data-stat="week13" csk="64775">64,775</td><td class="right " data-stat="week14" csk="65564">65,564</td><td class="right " data-stat="week15" csk="70799">70,799</td><td class="right " data-stat="week16" csk="76868">76,868</td><td class="right " data-stat="week17" csk="57254">57,254</td></tr>
<tr data-row="7"><th scope="row" class="left " data-stat="team">Cleveland Browns</th><td class="right " data-stat="total">1,062,262</td><td class="right " data-stat="home" csk="529488">529,488</td><td class="right " data-stat="away" csk="532774">532,774</td><td class="right " data-stat="week1" csk="78160">78,160</td><td class="right " data-stat="week2" csk="67431">67,431</td><td class="right " data-stat="week3" csk="67431">67,431</td><td class="right " data-stat="week4" csk="63710">63,710</td><td class="right " data-stat="week5" csk="71046">71,046</td><td class="right " data-stat="week6" csk="67431">67,431</td><td class="right " data-stat="week7" csk="51523">51,523</td><td class="right " data-stat="week8" csk="67431">67,431</td><td class="right " data-stat="week9" csk="65816">65,816</td><td class="right " data-stat="week10" csk="64402">64,402</td><td class="right " data-stat="week11" csk="0">Bye</td><td class="right " data-stat="week12" csk="64380">64,380</td><td class="right " data-stat="week13" csk="64775">64,775</td><td class="right " data-stat="week14" csk="63916">63,916</td><td class="right " data-stat="week15" csk="69002">69,002</td><td class="right " data-stat="week16" csk="69115">69,115</td><td class="right " data-stat="week17" csk="66693">66,693</td></tr>
<tr data-row="8"><th scope="row" class="left " data-stat="team">Dallas Cowboys</th><td class="right " data-stat="total">1,312,509</td><td class="right " data-stat="home" csk="731672">731,672</td><td class="right " data-stat="away" csk="580837">580,837</td><td class="right " data-stat="week1" csk="93579">93,579</td><td class="right " data-stat="week2" csk="69296">69,296</td><td class="right " data-stat="week3" csk="90345">90,345</td><td class="right " data-stat="week4" csk="73009">73,009</td><td class="right " data-stat="week5" csk="93054">93,054</td><td class="right " data-stat="week6" csk="0">Bye</td><td class="right " data-stat="week7" csk="80319">80,319</td><td class="right " data-stat="week8" csk="91486">91,486</td><td class="right " data-stat="week9" csk="91827">91,827</td><td class="right " data-stat="week10" csk="64113">64,113</td><td class="right " data-stat="week11" csk="65115">65,115</td><td class="right " data-stat="week12" csk="90909">90,909</td><td class="right " data-stat="week13" csk="80444">80,444</td><td class="right " data-stat="week14" csk="78369">78,369</td><td class="right " data-stat="week15" csk="90345">90,345</td><td class="right " data-stat="week16" csk="70172">70,172</td><td class="right " data-stat="week17" csk="90127">90,127</td></tr>
<tr data-row="9"><th scope="row" class="left " data-stat="team">Denver Broncos</th><td class="right " data-stat="total">1,141,878</td><td class="right " data-stat="home" csk="615381">615,381</td><td class="right " data-stat="away" csk="526497">526,497</td><td class="right " data-stat="week1" csk="76798">76,798</td><td class="right " data-stat="week2" csk="76404">76,404</td><td class="right " data-stat="week3" csk="62920">62,920</td><td class="right " data-stat="week4" csk="77029">77,029</td><td class="right " data-stat="week5" csk="54500">54,500</td><td class="right " data-stat="week6" csk="67431">67,431</td><td class="right " data-stat="week7" csk="0">Bye</td><td class="right " data-stat="week8" csk="77075">77,075</td><td class="right " data-stat="week9" csk="66894">66,894</td><td class="right " data-stat="week10" csk="76973">76,973</td><td class="right " data-stat="week11" csk="62483">62,483</td><td class="right " data-stat="week12" csk="76970">76,970</td><td class="right " data-stat="week13" csk="68631">68,631</td><td class="right " data-stat="week14" csk="76824">76,824</td><td class="right " data-stat="week15" csk="67234">67,234</td><td class="right " data-stat="week16" csk="76868">76,868</td><td class="right " data-stat="week17" csk="76844">76,844</td></tr>
<tr data-row="10"><th scope="row" class="left " data-stat="team">Detroit Lions</th><td class="right " data-stat="total">1,025,745</td><td class="right " data-stat="home" csk="490782">490,782</td><td class="right " data-stat="away" csk="534963">534,963</td><td class="right " data-stat="week1" csk="66093">66,093</td><td class="right " data-stat="week2" csk="52319">52,319</td><td class="right " data-stat="week3" csk="62920">62,920</td><td class="right " data-stat="week4" csk="69005">69,005</td><td class="right " data-stat="week5" csk="60816">60,816</td><td class="right " data-stat="week6" csk="57648">57,648</td><td class="right " data-stat="week7" csk="60231">60,231</td><td class="right " data-stat="week8" csk="83624">83,624</td><td class="right " data-stat="week9" csk="0">Bye</td><td class="right " data-stat="week10" csk="78526">78,526</td><td class="right " data-stat="week11" csk="60202">60,202</td><td class="right " data-stat="week12" csk="64445">64,445</td><td class="right " data-stat="week13" csk="63207">63,207</td><td class="right " data-stat="week14" csk="51202">51,202</td><td class="right " data-stat="week15" csk="73017">73,017</td><td class="right " data-stat="week16" csk="61313">61,313</td><td class="right " data-stat="week17" csk="61177">61,177</td></tr>
